generation,genome_id,episode,reward,initial_distance,final_distance,avg_distance,distance_improvement,steps,goal_reached,initial_x,initial_z,final_x,final_z,target_x,target_z
0,11,3,-9.178861085766126,2273.0000153330225,2373.822237048345,2262.659430990552,-100.82222171532248,30,False,-1171.0,0.264015,-1246.466,346.0339,1102.0,0.0
0,12,1,-10.084742696200236,2273.0000155422254,2384.69486946623,2030.2186045701471,-111.69485392400475,30,False,-1171.0,0.26581,345.3116,-2261.458,1102.0,0.0
0,12,2,20.362119936190716,2273.0000157177105,1775.7576169938961,1683.4620621134668,497.2423987238144,30,False,-1171.0,0.2673064,901.1472,-1764.362,1102.0,0.0
0,12,3,28.79785289082075,2273.0000157655045,1607.04295794909,1692.8296124661645,665.9570578164146,30,False,-1171.0,0.2677125,631.1176,-1536.508,1102.0,0.0
0,13,1,2.2576436333310532,2273.0090156971337,2137.8561430305126,2144.9447368629176,135.15287266662108,30,False,-1171.009,0.2671319,-998.3691,-398.5957,1102.0,0.0
0,13,2,2.205807948214076,2273.000015775635,2138.8838568113533,2146.2260111453666,134.11615896428157,30,False,-1171.0,0.2677985,-999.2855,-399.2786,1102.0,0.0
0,13,3,2.3799813476760603,2273.0060157316198,2135.4063887780985,2142.716732438766,137.59962695352124,30,False,-1171.006,0.267425,-997.4386,-390.2794,1102.0,0.0
0,14,1,2.0714030751662427,2273.009015382727,2141.580953879402,2149.3929371603053,131.4280615033249,30,False,-1171.009,0.2644431,-1001.629,-401.3901,1102.0,0.0
0,14,2,2.1486100982752294,2273.0000155143002,2140.0278135487956,2145.0678631282667,132.9722019655046,30,False,-1171.0,0.2655711,-1000.194,-400.6238,1102.0,0.0
0,14,3,2.0893862179791745,2273.0000157084564,2141.212291348873,2144.870322024081,131.78772435958354,30,False,-1171.0,0.2672277,-1001.695,-399.0707,1102.0,0.0
0,15,1,0.6125810337042131,2273.00001574457,2170.748395070486,2152.949341321216,102.25162067408428,30,False,-1171.0,0.2675347,-1023.385,-441.4603,1102.0,0.0
0,15,2,0.7648682743619004,2273.0000154807744,2167.7026499935364,2154.7069337162015,105.29736548723804,30,False,-1171.0,0.265284,-1019.583,-444.77,1102.0,0.0
0,15,3,0.25884495924048956,2273.000015617522,2177.823116432712,2167.1530520693223,95.17689918480983,30,False,-1171.0,0.2664531,-1029.059,-448.8887,1102.0,0.0
0,16,1,42.24130670182646,2273.000015495612,1401.9238814590828,1532.8661437631135,871.0761340365291,30,False,-1171.0,0.2654111,-234.9171,-421.9517,1102.0,0.0
0,16,2,44.491996791884034,2273.0110155754614,1352.2210797377809,1527.3792191408324,920.7899358376806,30,False,-1171.011,0.2660947,-168.2615,-463.6136,1102.0,0.0
0,16,3,49.72866211786235,2273.001015328939,1251.937772971692,1459.5663094576596,1021.063242357247,30,False,-1171.001,0.2639799,-53.3304,-482.2446,1102.0,0.0
0,17,1,9.842730044838959,2273.0100153087355,1986.1554144119564,2098.870736090827,286.8546008967792,30,False,-1171.01,0.2638064,-875.8807,-181.1112,1102.0,0.0
0,17,2,9.119734006249994,2273.0000158193284,2000.6053356943285,1994.7460393436738,272.3946801249999,30,False,-1171.0,0.2681691,-898.1964,40.44837,1102.0,0.0
0,17,3,13.330894107640688,2273.000015707363,1916.3821335545495,1991.870130391667,356.61788215281376,30,False,-1171.0,0.2672184,-814.3348,13.46908,1102.0,0.0
0,18,1,2.153112745733686,2273.0000157313198,2139.937760816646,2145.0581287349087,133.06225491467376,30,False,-1171.0,0.2674221,-1000.028,-401.0136,1102.0,0.0
0,18,2,2.1513224571913496,2273.0020153597125,2139.9755662158855,2144.95971045222,133.026449143827,30,False,-1171.002,0.2642448,-1000.424,-399.135,1102.0,0.0
0,18,3,2.1443211473201913,2273.0050154184564,2140.1185924720526,2144.965498278717,132.88642294640385,30,False,-1171.005,0.2647498,-1000.549,-399.2434,1102.0,0.0
0,19,1,11.088341011990599,2273.000015741545,1961.2331955017332,2004.8973866335627,311.766820239812,30,False,-1171.0,0.267509,-837.3795,-291.9637,1102.0,0.0
0,19,2,10.066906059108042,2273.012015190199,1981.673894008038,2039.1777018720804,291.3381211821609,30,False,-1171.012,0.2627832,-856.1703,-304.3033,1102.0,0.0
0,19,3,16.882446759282146,2273.0000155404246,1845.3510803547817,1936.819508947346,427.6489351856428,30,False,-1171.0,0.2657946,-725.0416,-259.306,1102.0,0.0
